iter	Passed	Remaining
0	1	187
1	3	166
2	4	158
3	6	149
4	7	146
5	8	137
6	10	133
7	11	128
8	12	125
9	13	122
10	14	118
11	15	115
12	16	111
13	17	109
14	18	106
15	19	104
16	21	102
17	22	101
18	23	99
19	24	97
20	25	95
21	26	93
22	27	91
23	28	90
24	29	88
25	30	86
26	31	85
27	32	83
28	33	82
29	34	80
30	35	79
31	36	77
32	37	76
33	38	74
34	39	73
35	40	72
36	41	71
37	43	70
38	44	69
39	45	67
40	46	66
41	46	64
42	47	63
43	48	62
44	49	60
45	50	59
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	51
53	59	50
54	60	49
55	61	47
56	62	46
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	12
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	107	1
99	107	0
